Cust_id,average_shop_spend,recent_purchase,recent_purchase_item_number,discount accumulated ,months_since_last_transaction
1,3,12,4,0,11
2,25.63,410.13,16,787.37,2
4,35.1,70.2,2,7.8,4
8,45.3,135.9,3,15.1,1
9,24.28,334.55,15,174.45,6
10,7.44,89.25,12,240.75,7
11,16.49,147.72,19,207.48,1
12,22.58,372.65,17,153.3,3
13,4.73,18.9,4,65.1,1
14,28,84,3,15,9
16,35,35,1,0,8
17,43.22,216.1,5,19.9,4
19,7.88,94.5,12,325.5,3
20,7.44,288.53,40,1630.97,3
24,67.5,67.5,1,7.5,4
25,12.62,138.8,11,703.2,4
26,12.76,2066.82,172,2917.83,1
28,25.64,128.9,8,149.85,2
31,21,21,1,0,3
32,30.33,334,10,0,1
33,6.4,79.12,12,132.88,8
35,20.68,452.39,24,466.61,7
36,10.19,163,16,81,7
38,8.18,420,62,420,1
39,34,212,7,0,7
40,26.32,78.97,3,12.41,2
41,50.8,254,5,0,10
42,37.11,809.25,38,311.25,3
43,30,153,6,0,3
44,31.45,31.45,1,5.55,5
45,9,9,1,0,9
46,41.5,41.5,1,41.5,11
48,16.7,1859.76,104,5241.74,1
49,69.04,207.12,3,-14.12,5
50,57.27,57.27,1,-6.27,4
51,21,21,1,0,1
54,14.26,71.3,5,81.2,1
55,21,42,2,0,2
56,7.5,7.5,1,4.5,12
57,18.16,164.15,10,325.85,9
58,30,60,2,60,8
59,15.41,710.61,42,819.77,1
61,20,60,3,21,8
62,21,42,2,0,5
63,19.5,77.98,4,3.26,11
64,9.75,29.25,3,3.25,1
65,45.9,137.7,3,15.3,1
66,51,357,7,0,10
67,18.67,56,3,35,2
68,11.1,266.4,24,621.6,7
69,28.03,1704.5,47,1372.3,2
70,12.65,253,20,1012,3
71,6.83,70.53,15,189.97,12
72,12.84,249.1,26,496.9,1
73,19.02,608.5,32,899.5,1
74,45.37,362.93,8,61.08,1
75,14.32,229.05,16,420.95,1
77,52,125,3,0,5
79,10.44,52.2,5,116.8,3
80,18.23,126.9,6,155.1,7
81,42.98,209.7,6,23.3,2
82,49.5,99,2,11,3
85,51,51,1,0,1
87,55.5,111,2,0,5
89,45.9,45.9,1,5.1,8
90,21,42,2,0,6
92,33.3,33.3,1,3.7,12
93,21.63,2862.45,154,1632.81,1
94,36.55,73.1,2,12.9,11
97,14.77,44.3,3,4.2,1
99,11.62,52.4,6,5.1,2
100,34.2,106.2,4,11.8,3
101,38.24,197.85,7,0,4
102,12.99,38.96,3,-3.96,3
103,2.7,10.8,4,1.2,11
106,37.17,185.85,5,220.65,10
107,18.42,110.5,6,110.5,4
108,80.29,227.96,3,-24.96,4
110,13.13,129.5,8,146.5,8
111,41.59,318.15,8,166.85,8
114,1.25,5,4,15,2
115,12,48,4,0,7
116,64.35,128.7,2,14.3,8
117,6.57,361.61,55,2363.39,4
119,17.98,151.06,8,487.39,9
120,26,104,4,104,3
121,6.5,6.5,1,0,12
122,39.6,198,5,22,7
123,35.4,193.5,5,21.5,1
124,19.32,309.1,16,395.9,1
125,9.67,432.3,43,1002.2,2
128,37.23,1194.3,33,132.7,1
129,13.05,104.4,8,127.6,2
130,11.1,66.6,6,81.4,7
133,83,83,1,0,10
136,28.08,337,12,337,3
138,10.5,21,2,21,6
139,83,83,1,0,2
141,17.85,89.25,5,15.75,4
142,26.9,411,16,0,10
145,4.48,8.95,2,8.95,5
146,7.61,335.19,63,969.26,2
151,38,76,2,19,8
153,17.25,103.5,6,114.4,5
154,19.95,239.4,12,12.6,3
155,49.08,217.3,5,17.7,4
156,18.42,110.5,6,110.5,2
159,33.25,66.5,2,0,11
160,11,251.95,22,971.95,1
161,43.35,260.1,6,28.9,1
162,12.38,74.25,6,8.25,12
163,10.13,121.55,12,476.45,1
165,10.15,307.11,30,656.84,1
167,40,160,4,240,2
168,31.13,124.5,4,207.5,4
169,16.31,789.61,58,664.75,1
172,34.5,69,2,0,8
174,7.8,93.75,15,531.25,8
175,5.03,60.3,12,341.7,10
176,55,55,1,0,12
178,27.99,1911.92,66,24.94,1
179,13.18,131.75,10,35.25,1
180,16.88,67.5,4,49,11
181,29.25,58.5,2,6.5,4
182,64.4,405,6,0,3
183,15.5,62,4,0,3
184,15,59.99,4,68.73,6
185,17.58,70.3,4,77.7,5
186,31.45,31.45,1,5.55,7
187,21.8,87.2,4,96.7,7
190,15,30,2,0,7
191,23.86,262.42,11,469.27,5
192,5,5,1,0,3
194,17.88,253.33,20,410.18,6
195,16.6,99.6,6,260.4,5
196,1.5,3,2,3,1
197,21,21,1,0,8
198,47.09,94.17,2,0.78,2
199,21,84,4,0,2
200,30.6,145.2,6,7.8,5
201,59.96,161.53,4,1.47,1
202,12,12,1,9,11
203,20.81,20.81,1,0.19,1
204,66.8,668.04,10,161.96,6
205,52,229,5,0,10
206,41.25,266.4,7,29.6,4
207,21,21,1,0,6
208,32,78,3,0,5
210,4.2,42,10,168,9
211,29.97,119.9,4,100.1,7
212,32.33,97,3,0,3
213,21,21,1,0,7
214,34,34,1,0,1
215,9.13,188,26,704,1
216,22,22,1,0,12
217,14,28,2,0,6
218,10.5,21,2,21,6
219,7.4,37,5,148,6
221,21,21,1,0,11
222,67.5,104,2,0,5
224,5.95,17.85,3,45.15,2
225,12.6,69.3,6,84.7,1
226,9.45,18.9,2,23.1,7
227,16.8,460.1,33,505.9,1
228,83,83,1,0,10
229,21,21,1,0,12
230,25.8,77.4,3,8.6,1
231,22.19,483.85,21,478.65,5
232,48,144,3,36,2
234,26.83,285.97,10,125.03,2
235,9,9,1,0,10
237,12.56,276.3,22,390.7,1
239,54,54,1,6,2
240,41.5,83,2,83,1
244,27.9,403.65,15,260.35,1
245,23.75,95,4,9,3
248,10.53,329.7,30,356.3,1
249,33.29,572,20,78,6
250,17.07,187.74,11,152.76,1
251,9.45,18.9,2,23.1,7
252,41.5,83,2,83,11
254,41.63,185.4,5,20.6,5
257,48.45,96.9,2,17.1,1
258,31.2,31.2,1,7.8,7
259,34.91,539.75,15,137.25,2
261,50.1,150.3,3,16.7,4
262,56.25,225,4,159.04,11
263,15.89,222.4,14,224.6,1
264,53.89,269.45,5,47.55,4
265,44.93,89.87,2,76.13,8
266,54,54,1,6,1
268,8.95,8.95,1,0,8
269,21,21,1,0,9
270,54,54,1,6,12
271,41.65,291.54,7,35.96,1
272,21,21,1,0,5
274,22.8,91.2,4,98.8,2
275,12.38,37.15,3,1.21,12
276,3.32,73.1,22,357.4,4
278,19.65,898.2,52,371.8,3
279,2.22,75,31,80,1
280,22,22,1,0,1
281,25.14,245.95,14,360.05,2
282,8.75,35,4,105,7
283,4.2,21,5,84,7
285,24.36,629.94,63,42.06,4
286,41.63,166.5,4,18.5,4
287,10.5,21,2,21,7
288,16.5,33,2,0,10
289,17.6,35.2,2,52.8,4
290,31.5,31.5,1,3.5,1
291,10.77,106.42,10,162.58,12
292,46.31,219.35,5,5.65,2
293,11.93,35.78,3,9.23,1
298,15.98,391.5,28,478.5,2
299,44.45,44.45,1,38.55,12
300,39.58,475,12,475,1
303,18.5,37,2,37,10
304,41.52,290.63,6,41.73,2
305,21,42,2,0,3
308,5.2,65.7,13,159.3,2
309,7.48,14.95,2,0,7
310,23.58,23.58,1,-2.58,4
311,45.9,45.9,1,5.1,7
313,5.77,165.6,30,893.65,5
314,37.03,239,7,104,4
316,18.8,638.35,34,583.65,2
317,15.75,31.5,2,0,10
318,33.15,33.15,1,5.85,6
320,49.7,331.2,8,44.3,2
322,14.61,131.5,9,24.5,5
323,4.73,18.9,4,65.1,1
324,48.44,805.6,17,201.4,1
325,82.25,82.25,1,0.75,1
326,33.18,377.8,10,388.2,6
327,83,83,1,0,1
329,26.3,263,10,263,7
330,24.57,73.71,3,7.2,5
331,4.11,28.8,7,164.2,4
333,7.15,57.2,8,200.8,12
337,34.67,583.62,19,-39.62,2
339,80.1,80.1,1,2.9,11
340,6.5,6.5,1,0,11
341,3,6,2,0,1
342,23.97,71.9,3,0,6
343,43.25,323,14,0,1
344,13,47,3,0,3
345,26.25,78.75,3,121.25,1
346,21,21,1,0,10
347,56.67,676,10,0,1
348,8.78,70.2,8,241.8,5
349,43.65,87.3,2,9.7,5
350,42.38,211.88,5,46.32,7
351,9.15,109.8,12,378.2,3
352,5.25,252,48,756,9
353,46.51,279.06,6,7.32,11
354,22.73,90.9,4,10.1,11
356,32.86,65.73,2,87.65,12
357,20.65,103.25,5,9.75,4
359,41.5,83,2,83,3
360,8.75,35,4,105,10
361,11.02,304.85,27,499.15,1
362,15,30,2,0,4
365,22.83,45.65,2,64.35,5
367,21.5,86,4,0,7
368,32,89,3,0,5
371,34.81,104.43,3,4.58,10
372,10.26,1703.9,149,2113.65,1
373,22.11,501.49,21,124.97,1
374,13.8,27.6,2,8.63,12
375,44.75,89.5,2,0,12
377,32.48,64.97,2,55.04,8
378,6.5,12.99,2,5.01,8
380,12,24,2,0,2
382,16.78,2984.29,168,4417.27,1
383,34.33,1231.5,64,4063.5,1
384,22.07,871.77,45,2178.75,1
386,4.35,43.5,10,174,6
387,37.71,299.95,8,41.35,6
388,3.14,72.3,23,229.8,3
389,19.71,78.85,4,253.15,9
390,39.6,118.8,3,13.2,6
391,22,22,1,0,4
392,15,30,2,90,12
393,28.5,228,8,236,2
395,32.1,192.61,6,203.39,8
398,0.23,0.45,2,0.55,8
399,24.98,99.9,4,30,10
400,11.73,1245.16,98,2843.84,1
401,13.13,208.9,16,389,1
402,34.5,207,6,143,5
404,13.05,130.5,10,469.5,3
405,20.34,230.42,18,271.58,5
406,52,104,2,0,2
407,17.5,35,2,35,8
408,17.15,292,19,283,2
409,19.83,59.5,3,10.5,9
410,16.48,32.95,2,0,5
412,2.03,8.1,4,27.9,3
413,15.47,284,21,252,1
414,30.42,717.75,22,587.25,5
415,11.4,911.25,75,1443.75,3
417,36.91,522.45,21,43.55,3
419,47.67,143,3,0,6
421,9.2,92,10,468,2
422,85.36,85.36,1,-8.36,5
423,13.43,13.43,1,-1.48,4
