,Timestamp,Duration (seconds),Weekday
0,2023-03-04 08:00:00,571,5
1,2023-01-07 09:00:00,66,1
2,2023-06-25 08:00:00,214,0
3,2023-01-29 08:00:00,547,0
4,2023-05-12 09:00:00,126,6
5,2023-06-18 08:00:00,596,4
6,2023-01-24 08:00:00,61,1
7,2023-02-03 09:00:00,345,3
8,2023-01-04 08:00:00,442,2
9,2023-01-24 08:00:00,218,2
10,2023-06-27 09:00:00,178,3
11,2023-04-10 09:00:00,235,3
12,2023-04-29 09:00:00,98,1
13,2023-04-11 08:00:00,76,5
14,2023-02-19 08:00:00,316,0
15,2023-06-25 08:00:00,487,6
16,2023-04-27 09:00:00,156,0
17,2023-01-15 08:00:00,532,3
18,2023-03-21 08:00:00,96,1
19,2023-01-10 08:00:00,171,0
20,2023-04-27 09:00:00,415,6
21,2023-01-11 09:00:00,61,0
22,2023-04-10 09:00:00,392,0
23,2023-05-16 08:00:00,502,4
24,2023-05-24 08:00:00,294,5
25,2023-01-03 09:00:00,211,0
26,2023-05-24 08:00:00,484,1
27,2023-02-06 09:00:00,159,4
28,2023-05-09 09:00:00,455,0
29,2023-05-24 08:00:00,537,0
30,2023-03-16 08:00:00,499,4
31,2023-02-27 08:00:00,518,0
32,2023-04-22 08:00:00,397,4
33,2023-03-11 09:00:00,594,4
34,2023-06-16 08:00:00,570,0
35,2023-04-25 09:00:00,147,5
36,2023-05-08 08:00:00,470,4
37,2023-02-28 09:00:00,444,5
38,2023-05-12 09:00:00,153,0
39,2023-02-23 09:00:00,265,4
40,2023-03-22 08:00:00,564,2
41,2023-04-24 09:00:00,190,0
42,2023-05-14 08:00:00,191,0
43,2023-04-30 08:00:00,234,4
44,2023-05-28 09:00:00,272,4
45,2023-03-05 09:00:00,164,0
46,2023-04-29 08:00:00,196,0
47,2023-05-31 08:00:00,145,0
48,2023-03-01 09:00:00,337,1
49,2023-01-25 09:00:00,213,4
50,2023-02-05 08:00:00,405,5
51,2023-05-24 08:00:00,186,2
52,2023-04-14 08:00:00,587,4
53,2023-04-19 09:00:00,176,0
54,2023-03-19 08:00:00,428,0
55,2023-02-22 09:00:00,175,1
56,2023-04-09 08:00:00,257,1
57,2023-02-12 08:00:00,151,0
58,2023-01-22 09:00:00,213,4
59,2023-05-04 09:00:00,280,6
60,2023-06-21 08:00:00,374,3
61,2023-05-11 09:00:00,404,0
62,2023-02-01 08:00:00,572,4
63,2023-01-28 09:00:00,449,0
64,2023-04-23 09:00:00,145,1
65,2023-06-27 09:00:00,295,3
66,2023-05-21 08:00:00,550,2
67,2023-05-05 09:00:00,336,0
68,2023-04-13 08:00:00,167,0
69,2023-03-01 08:00:00,178,4
70,2023-01-28 08:00:00,444,0
71,2023-04-18 09:00:00,576,1
72,2023-03-05 08:00:00,567,5
