Date,Fremont Bridge Total
2012-10-01,65695.0
2012-11-01,50647.0
2012-12-01,36369.0
2013-01-01,44884.0
2013-02-01,50027.0
2013-03-01,66089.0
2013-04-01,71998.0
2013-05-01,108574.0
2013-06-01,99280.0
2013-07-01,117974.0
2013-08-01,104549.0
2013-09-01,80729.0
2013-10-01,81352.0
2013-11-01,59270.0
2013-12-01,43553.0
2014-01-01,59873.0
2014-02-01,47025.0
2014-03-01,63494.0
2014-04-01,86855.0
2014-05-01,118644.0
2014-06-01,110907.0
2014-07-01,120669.0
2014-08-01,112490.0
2014-09-01,97558.0
2014-10-01,83184.0
2014-11-01,56990.0
2014-12-01,48507.0
2015-01-01,60630.0
2015-02-01,58659.0
2015-03-01,71144.0
2015-04-01,83697.0
2015-05-01,107775.0
2015-06-01,113717.0
2015-07-01,112780.0
2015-08-01,103351.0
2015-09-01,91140.0
2015-10-01,83003.0
2015-11-01,56668.0
2015-12-01,43992.0
2016-01-01,51733.0
2016-02-01,60381.0
2016-03-01,69804.0
2016-04-01,93639.0
2016-05-01,114159.0
2016-06-01,107617.0
2016-07-01,105683.0
2016-08-01,112380.0
2016-09-01,94157.0
2016-10-01,69883.0
2016-11-01,64097.0
2016-12-01,38937.0
2017-01-01,49805.0
2017-02-01,42001.0
2017-03-01,58747.0
2017-04-01,68413.0
2017-05-01,109089.0
2017-06-01,107801.0
2017-07-01,118904.0
2017-08-01,120188.0
2017-09-01,96498.0
2017-10-01,88143.0
2017-11-01,57684.0
2017-12-01,45862.0
2018-01-01,58591.0
2018-02-01,50677.0
2018-03-01,77284.0
2018-04-01,79947.0
2018-05-01,129813.0
2018-06-01,113145.0
2018-07-01,128018.0
2018-08-01,111809.0
2018-09-01,96242.0
2018-10-01,90982.0
2018-11-01,68431.0
2018-12-01,46941.0
2019-01-01,72883.0
2019-02-01,36099.0
2019-03-01,85457.0
2019-04-01,87932.0
2019-05-01,128120.0
2019-06-01,130365.0
2019-07-01,137714.0
2019-08-01,141344.0
2019-09-01,112174.0
2019-10-01,104498.0
2019-11-01,84963.0
2019-12-01,61377.0
2020-01-01,58986.0
2020-02-01,72457.0
2020-03-01,57897.0
2020-04-01,65375.0
2020-05-01,72668.0
2020-06-01,75787.0
2020-07-01,88177.0
2020-08-01,88351.0
2020-09-01,58143.0
2020-10-01,58751.0
2020-11-01,39920.0
2020-12-01,36077.0
2021-01-01,35616.0
2021-02-01,29479.0
2021-03-01,50200.0
2021-04-01,69345.0
2021-05-01,73033.0
2021-06-01,77473.0
2021-07-01,93994.0
2021-08-01,86354.0
2021-09-01,74366.0
2021-10-01,56453.0
2021-11-01,40118.0
2021-12-01,27459.0
2022-01-01,34316.0
2022-02-01,38576.0
