,Year,NOC,Country,Sport,Event,Medal,Sex,ID,Age,Height,Weight,Medal_Won,Team_Event,Individual_Event,Medal_Count
0,1896,AUS,Australia,Athletics,"Athletics Men's 1,500 metres",Gold,M,35698,22.0,0.0,0.0,1,0,1,1.0
1,1896,AUS,Australia,Athletics,Athletics Men's 800 metres,Gold,M,35698,22.0,0.0,0.0,1,0,1,1.0
2,1896,AUS,Australia,Tennis,Tennis Men's Doubles,Bronze,M,35698,22.0,0.0,0.0,1,1,0,1.0
3,1896,AUT,Austria,Cycling,"Cycling Men's 10,000 metres",Bronze,M,107006,23.0,0.0,0.0,1,0,1,1.0
4,1896,AUT,Austria,Cycling,Cycling Men's 12-Hours Race,Gold,M,107006,23.0,0.0,0.0,1,0,1,1.0
5,1896,AUT,Austria,Cycling,Cycling Men's 333 metres Time Trial,Bronze,M,107006,23.0,0.0,0.0,1,0,1,1.0
6,1896,AUT,Austria,Swimming,Swimming Men's 100 metres Freestyle,Silver,M,48195,19.0,0.0,0.0,1,0,1,1.0
7,1896,AUT,Austria,Swimming,Swimming Men's 500 metres Freestyle,Gold,M,85477,20.0,0.0,0.0,1,0,1,1.0
8,1896,DEN,Denmark,Fencing,"Fencing Men's Sabre, Individual",Bronze,M,85988,29.0,0.0,0.0,1,0,1,1.0
9,1896,DEN,Denmark,Shooting,"Shooting Men's Free Pistol, 30 metres",Silver,M,85988,29.0,0.0,0.0,1,0,1,1.0
10,1896,DEN,Denmark,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze,M,54456,21.0,0.0,0.0,1,0,1,1.0
11,1896,DEN,Denmark,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Bronze,M,85988,29.0,0.0,0.0,1,0,1,1.0
12,1896,DEN,Denmark,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Silver,M,54456,21.0,0.0,0.0,1,0,1,1.0
13,1896,DEN,Denmark,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Gold,M,54456,21.0,0.0,0.0,1,0,1,1.0
14,1896,FRA,France,Athletics,"Athletics Men's 1,500 metres",Bronze,M,68911,21.0,0.0,0.0,1,0,1,1.0
15,1896,FRA,France,Athletics,Athletics Men's Triple Jump,Silver,M,122526,19.0,0.0,0.0,1,0,1,1.0
16,1896,FRA,France,Cycling,"Cycling Men's 10,000 metres",Gold,M,76252,19.0,0.0,0.0,1,0,1,1.0
17,1896,FRA,France,Cycling,"Cycling Men's 10,000 metres",Silver,M,35708,18.0,0.0,0.0,1,0,1,1.0
18,1896,FRA,France,Cycling,Cycling Men's 100 kilometres,Gold,M,35708,18.0,0.0,0.0,1,0,1,1.0
19,1896,FRA,France,Cycling,Cycling Men's 333 metres Time Trial,Gold,M,76252,19.0,0.0,0.0,1,0,1,1.0
20,1896,FRA,France,Cycling,Cycling Men's Sprint,Bronze,M,35708,18.0,0.0,0.0,1,0,1,1.0
21,1896,FRA,France,Cycling,Cycling Men's Sprint,Gold,M,76252,19.0,0.0,0.0,1,0,1,1.0
22,1896,FRA,France,Fencing,"Fencing Men's Foil, Individual",Gold,M,42499,20.0,0.0,0.0,1,0,1,1.0
23,1896,FRA,France,Fencing,"Fencing Men's Foil, Individual",Silver,M,17492,20.0,0.0,0.0,1,0,1,1.0
24,1896,FRA,France,Fencing,"Fencing Men's Foil, Masters, Individual",Silver,M,93575,18.0,0.0,0.0,1,0,1,1.0
25,1896,GBR,UK,Athletics,Athletics Men's 110 metres Hurdles,Silver,M,42069,22.0,0.0,0.0,1,0,1,1.0
26,1896,GBR,UK,Athletics,Athletics Men's 400 metres,Bronze,M,40851,23.0,0.0,0.0,1,0,1,1.0
27,1896,GBR,UK,Cycling,Cycling Men's 12-Hours Race,Silver,M,58394,28.0,0.0,0.0,1,0,1,1.0
28,1896,GBR,UK,Cycling,"Cycling Men's Road Race, Individual",Bronze,M,8620,0.0,0.0,0.0,1,0,1,1.0
29,1896,GBR,UK,Tennis,Tennis Men's Doubles,Bronze,M,101352,23.0,0.0,0.0,1,1,0,1.0
30,1896,GBR,UK,Tennis,Tennis Men's Doubles,Gold,M,12929,25.0,0.0,0.0,1,1,0,1.0
31,1896,GBR,UK,Tennis,Tennis Men's Singles,Gold,M,12929,25.0,0.0,0.0,1,0,1,1.0
32,1896,GBR,UK,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Gold,M,32330,21.0,188.0,102.0,1,0,1,1.0
33,1896,GBR,UK,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Silver,M,32330,21.0,188.0,102.0,1,0,1,1.0
34,1896,GER,Germany,Athletics,Athletics Men's 100 metres,Silver,M,49185,24.0,167.0,56.0,1,0,1,1.0
35,1896,GER,Germany,Cycling,"Cycling Men's Road Race, Individual",Silver,M,40985,36.0,0.0,0.0,1,0,1,1.0
36,1896,GER,Germany,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,M,129377,31.0,0.0,0.0,1,1,0,1.0
37,1896,GER,Germany,Gymnastics,Gymnastics Men's Horizontal Bar,Silver,M,35740,26.0,0.0,0.0,1,1,0,1.0
38,1896,GER,Germany,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold,M,740148,219.0,159.0,132.0,10,10,0,1.0
39,1896,GER,Germany,Gymnastics,Gymnastics Men's Horse Vault,Bronze,M,129377,31.0,0.0,0.0,1,1,0,1.0
40,1896,GER,Germany,Gymnastics,Gymnastics Men's Horse Vault,Gold,M,107613,26.0,159.0,70.0,1,1,0,1.0
41,1896,GER,Germany,Gymnastics,Gymnastics Men's Parallel Bars,Gold,M,35740,26.0,0.0,0.0,1,0,1,1.0
42,1896,GER,Germany,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold,M,740148,219.0,159.0,132.0,10,10,0,1.0
43,1896,GER,Germany,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,M,129377,31.0,0.0,0.0,1,1,0,1.0
44,1896,GER,Germany,Gymnastics,Gymnastics Men's Rings,Silver,M,129377,31.0,0.0,0.0,1,0,1,1.0
45,1896,GER,Germany,Gymnastics,Gymnastics Men's Rope Climbing,Bronze,M,49185,24.0,167.0,56.0,1,0,1,1.0
46,1896,GER,Germany,Tennis,Tennis Men's Doubles,Gold,M,121713,20.0,0.0,0.0,1,1,0,1.0
47,1896,GER,Germany,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",Gold,M,107613,26.0,159.0,70.0,1,0,1,1.0
48,1896,GRE,Greece,Athletics,Athletics Men's 800 metres,Bronze,M,41160,21.0,0.0,0.0,1,0,1,1.0
49,1896,GRE,Greece,Athletics,Athletics Men's Discus Throw,Bronze,M,126142,0.0,0.0,0.0,1,0,1,1.0
50,1896,GRE,Greece,Athletics,Athletics Men's Discus Throw,Silver,M,91355,0.0,0.0,0.0,1,0,1,1.0
51,1896,GRE,Greece,Athletics,Athletics Men's Marathon,Gold,M,71674,23.0,0.0,0.0,1,0,1,1.0
52,1896,GRE,Greece,Athletics,Athletics Men's Marathon,Silver,M,125390,0.0,0.0,0.0,1,0,1,1.0
53,1896,GRE,Greece,Athletics,Athletics Men's Pole Vault,Bronze,M,144657,0.0,0.0,0.0,2,2,0,1.0
54,1896,GRE,Greece,Athletics,Athletics Men's Shot Put,Bronze,M,91250,0.0,0.0,0.0,1,0,1,1.0
