RainTomorrow,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
Yes,8.8,13.3,40.6,1.8,0.9,WSW,46,W,SW,19,7,86,89,997.5,1004.7,7,7,9.7,9.6,Yes
Yes,5.2,12.5,0,0.2,0,SW,44,N,SW,9,26,87,77,1019.7,1018,7,8,9,12,No
Yes,14.6,19.1,0.4,5.6,2.1,S,46,S,SE,31,19,87,93,1017.9,1018.4,7,7,16.7,15.7,No
Yes,8.2,22.1,0,1.4,9.2,N,33,ENE,N,17,19,74,45,1019.9,1015.8,0,0,13.1,21.9,No
Yes,21.1,30.2,0,7.2,6.4,E,33,SSW,E,6,28,71,76,1015,1007.4,6,6,23.5,23.6,No
No,18.3,23.7,0,8.8,11.9,SSE,50,S,SSE,24,30,52,48,1017.8,1017.8,2,2,22,22.5,No
Yes,16,19.7,0,9.8,10.4,S,69,S,SSE,37,39,68,59,1011.3,1010.9,2,2,17.2,18,No
Yes,6.5,13.6,0,1.8,0.3,NE,28,NNE,N,7,9,84,55,1015.7,1012.2,7,8,8.2,13.3,No
Yes,11.5,14.1,0.6,0.4,0,SE,43,SE,SE,17,19,87,79,1013.3,1011.5,8,1,13.1,13.9,No
Yes,12.5,16.8,3.6,1.4,0.5,WNW,65,WNW,WNW,30,31,83,84,1010.3,1009,7,8,15,14.3,Yes
No,19.4,26.7,0,4.6,11.5,SSW,41,SSW,S,26,30,63,67,1014,1013.8,1,3,24.5,25.8,No
No,16.2,33,4,5,12,WSW,41,NE,WSW,7,13,84,23,1006.2,999.4,4,3,21.8,32.2,Yes
No,10,18,0,0.6,4.4,SE,22,S,SSE,6,7,87,49,1033,1031.3,2,7,12.5,16.3,No
No,9.5,16,0,2.6,10.6,SSW,61,WSW,S,30,37,49,51,1012.1,1012.1,1,1,13.5,16,No
Yes,14.1,23.7,0.2,1.2,2.6,NNW,35,NNE,N,11,15,79,44,1016.3,1012.8,6,5,16.2,22.9,No
Yes,8.8,24.3,0,0.8,8.4,N,50,NNE,N,15,28,51,39,1019.5,1012.7,7,7,16.9,23.6,No
Yes,4.7,20.3,0,2.8,8,NW,33,NE,NNW,7,13,70,63,1017.6,1015.5,1,7,13.7,18.2,No
Yes,11.2,27.3,0,2.2,10.4,NNW,39,N,NW,15,20,78,49,1018.5,1015.8,2,6,18.8,26.7,No
Yes,13.7,20.1,0,4.6,9.8,WSW,50,W,WNW,20,17,58,84,1013.8,1011,1,4,17.9,16.7,No
No,21.6,31.2,0,4.6,12.8,ENE,52,N,NE,17,37,63,56,1012.9,1010.4,2,1,27.1,29.3,No
Yes,4.2,13.8,2.2,1.2,2,W,33,WNW,W,17,20,77,83,1011.1,1008.3,6,7,8.8,12.3,Yes
Yes,8.4,12.5,12.6,0.8,3.7,S,57,S,SSE,30,30,70,79,1016.9,1018.9,7,7,10.3,10.4,Yes
Yes,9,16.9,0,3.8,0,SSE,24,WNW,WSW,9,7,71,69,1015,1009.4,7,7,12.3,16.3,No
Yes,15.6,25.5,0,5,0,ESE,31,ENE,ENE,17,17,83,84,1008.3,1005.3,7,8,21.3,23.7,No
No,4.6,17.6,0,7,10.3,W,56,WNW,WNW,31,31,40,29,1018.9,1016.5,1,2,12.5,16.7,No
No,10.4,22.5,0,5.8,9,SSE,48,SSE,SE,24,30,48,36,1021.2,1018.5,1,6,16.8,22.1,No
Yes,9.3,20.1,0.8,1.4,5.3,SSW,22,NNE,W,7,7,88,67,1026,1024.8,4,3,13.7,18.4,No
No,19.4,25,0,6.2,11.6,E,44,ENE,ENE,31,30,67,68,1007.3,1007,1,4,23.5,24.3,No
No,18.2,37.6,0,9.4,12.7,WNW,54,WNW,SE,31,17,28,50,1012.1,1008,1,2,31.3,32.2,No
Yes,12.3,24.3,0,3.8,5.2,NNW,57,N,NE,26,19,58,78,1010.8,1006.6,3,7,20.5,20.4,No
Yes,4.2,14.2,0,0.8,4.7,NNW,13,NNW,E,6,2,99,69,1025.8,1022.1,8,7,8.4,13.6,No
No,21.8,32.9,0,10,12,ENE,52,NE,NNE,26,9,66,47,1015.2,1011.9,4,5,25.3,31.1,No
Yes,4.4,17.2,0,2.6,3.8,WNW,72,NNW,NW,20,31,76,86,1011.9,1008.5,4,8,13.1,10.6,No
No,18.2,26.8,0,8,11.1,NE,57,NNE,NE,33,37,57,44,1027.3,1024.5,7,4,23.1,25.8,No
Yes,25.5,34.3,0,7.4,9.5,SSW,69,SW,W,13,26,71,55,1010.3,1006.3,5,7,29.9,30.8,No
Yes,8.3,19.8,0,2,8.6,ENE,24,ENE,ENE,9,15,74,37,1021.2,1016.6,6,1,11.1,19,No
No,19.8,28.7,0,9.4,13,NNE,65,NNE,NE,22,46,40,44,1021.4,1018.2,1,1,25.3,27.6,No
Yes,10.3,22.7,0.4,2.6,8.7,NW,22,NW,ESE,19,11,91,55,1028.1,1025.3,1,2,14.3,21.4,No
No,11.5,19.3,0,2,0.5,W,20,W,SE,15,2,91,84,1031.8,1027.3,7,8,13.8,18.2,No
No,10.1,29.5,0,4,9.1,NNW,46,NNE,NNW,24,26,50,18,1014.5,1007.8,1,7,17.6,29.3,No
Yes,18.3,25.5,28.6,5.8,5.3,S,48,SSE,SSW,15,24,67,54,1021.8,1021.8,6,3,20.7,24.3,Yes
Yes,21,23.5,2.6,5,0.6,N,65,N,WNW,37,20,86,70,1003.5,1003.5,7,8,21.2,22.2,Yes
Yes,15.7,16.6,0,7.2,0.8,N,61,N,NW,22,11,53,99,1006.2,1007.3,7,8,16.6,9.3,No
Yes,17,22.8,0.6,4.6,9.2,NW,31,WSW,W,2,13,73,64,1013.6,1010.1,2,2,21.3,22.1,No
No,19,24,0,10.2,0,NE,41,SE,E,15,17,62,59,1021.3,1019.6,8,8,20.7,21.7,No
No,10,16.4,0,7,9.6,NW,69,NW,NW,28,28,45,37,1004.5,1004.8,1,3,12.1,15.5,No
No,10.5,21.5,0,1.4,3.9,NNW,28,W,WNW,13,17,90,67,1021.6,1018.7,2,8,11.1,18.5,No
No,10.1,20.3,0,3.8,10,NE,48,NW,NE,9,31,49,51,1018.8,1013.9,2,1,15.6,19.3,No
Yes,13.1,19.3,45.6,1.6,1.3,S,65,SW,S,28,39,96,75,1019.2,1016.9,8,7,14.2,18.8,Yes
No,21.7,25.3,0,5.6,4.9,WNW,33,WNW,W,22,20,84,75,1010.1,1008.6,4,7,23.5,24,No
No,14.7,17.5,0.6,5,7.2,SW,56,SSW,SSW,19,28,67,65,1016.6,1014.8,7,7,15.5,16.6,No
No,18.9,35.9,0,12.8,12.4,WSW,39,ESE,SSW,15,11,23,11,1016.5,1014,1,1,27.1,34.5,No
Yes,18.5,32.7,27.6,8.6,7.5,WNW,76,WSW,WSW,9,24,79,43,1006.6,1006.1,6,7,22,27.8,Yes
Yes,14.4,22.8,1.4,2.8,2.5,NNW,74,ENE,NE,19,13,82,65,996.2,995.7,5,7,20.2,17,Yes
Yes,17.8,27.8,0,8.8,7.9,NNE,54,ENE,E,13,15,61,63,1006.3,1000.5,5,7,23.5,24.9,No
No,18.9,26.3,0,6.8,13,ENE,46,ESE,ENE,9,30,63,63,1012.5,1009.8,1,1,24.3,25.1,No
Yes,11.3,16,1.4,3,7.8,SW,50,SSW,SSW,17,17,98,93,1018.9,1019.5,8,8,13.4,14.7,Yes
No,19.1,25.2,0,5.2,7.6,NNE,37,NNE,NE,15,20,69,72,1015.9,1014,7,7,22.9,22.9,No
No,13.3,18.8,1.6,3.2,8.9,SSW,30,SSE,S,13,15,64,48,1021.3,1020.1,2,1,16.7,18.3,Yes
Yes,18.2,20.9,0,2.2,0.1,NNE,43,NNE,NNE,17,20,79,79,1017.1,1014.3,7,7,19.8,20,No
No,18.9,24.2,0,7.6,9.2,E,44,E,E,26,31,60,64,1018,1016.4,6,6,22.1,22.9,No
